 3200  1.0000E-01
   i   x             den           ener          pres          vel           cs
   63  1.562500E-01  2.794078E-07  4.533669E+08  8.444949E+01  3.750000E-01  2.244418E+04
   64  1.587500E-01  3.000960E-07  4.221124E+08  8.444949E+01  3.810000E-01  2.165673E+04
   65  1.612500E-01  3.219565E-07  3.934515E+08  8.444949E+01  3.870000E-01  2.090857E+04
   66  1.637500E-01  3.450359E-07  3.671335E+08  8.444949E+01  3.930000E-01  2.019718E+04
   67  1.662500E-01  3.693821E-07  3.429355E+08  8.444949E+01  3.990000E-01  1.952023E+04
   68  1.687500E-01  3.950439E-07  3.206586E+08  8.444949E+01  4.050000E-01  1.887558E+04
   69  1.712500E-01  4.220715E-07  3.001251E+08  8.444949E+01  4.110000E-01  1.826122E+04
   70  1.737500E-01  4.505158E-07  2.811760E+08  8.444949E+01  4.170000E-01  1.767534E+04
   71  1.762500E-01  4.804293E-07  2.636689E+08  8.444949E+01  4.230000E-01  1.711623E+04
   72  1.787500E-01  5.118652E-07  2.474758E+08  8.444949E+01  4.290000E-01  1.658231E+04
   73  1.812500E-01  5.448782E-07  2.324817E+08  8.444949E+01  4.350000E-01  1.607212E+04
   74  1.837500E-01  5.795240E-07  2.185832E+08  8.444949E+01  4.410000E-01  1.558430E+04
   75  1.862500E-01  6.158595E-07  2.056869E+08  8.444949E+01  4.470000E-01  1.511757E+04
   76  1.887500E-01  6.539427E-07  1.937085E+08  8.444949E+01  4.530000E-01  1.467077E+04
   77  1.912500E-01  6.938329E-07  1.825717E+08  8.444949E+01  4.590000E-01  1.424280E+04
   78  1.937500E-01  7.355904E-07  1.722076E+08  8.444949E+01  4.650000E-01  1.383263E+04
   79  1.962500E-01  7.792770E-07  1.625535E+08  8.444949E+01  4.710000E-01  1.343931E+04
   80  1.987500E-01  8.249554E-07  1.535528E+08  8.444949E+01  4.770000E-01  1.306194E+04
   81  2.012500E-01  8.726898E-07  1.451538E+08  8.444949E+01  4.830000E-01  1.269969E+04
   82  2.037500E-01  9.225452E-07  1.373095E+08  8.444949E+01  4.890000E-01  1.235177E+04
   83  2.062500E-01  9.745883E-07  1.299772E+08  8.444949E+01  4.950000E-01  1.201745E+04
   84  2.087500E-01  1.028887E-06  1.231178E+08  8.444949E+01  5.010000E-01  1.169605E+04
   85  2.112500E-01  1.085509E-06  1.166957E+08  8.444949E+01  5.070000E-01  1.138692E+04
