   0.000000E+00  5.329193E-21  8.071246E+01  3.339154E-04
   5.000000E-03  5.240991E-14  8.444949E+01  1.200000E-02
   1.000000E-02  1.185901E-12  8.444949E+01  2.400000E-02
   1.500000E-02  7.352906E-12  8.444949E+01  3.600000E-02
   2.000000E-02  2.683387E-11  8.444949E+01  4.800000E-02
   2.500000E-02  7.324507E-11  8.444949E+01  6.000000E-02
   3.000000E-02  1.663773E-10  8.444949E+01  7.200000E-02
   3.500000E-02  3.329313E-10  8.444949E+01  8.400000E-02
   4.000000E-02  6.071812E-10  8.444949E+01  9.600000E-02
   4.500000E-02  1.031584E-09  8.444949E+01  1.080000E-01
   5.000000E-02  1.657347E-09  8.444949E+01  1.200000E-01
   5.500000E-02  2.544957E-09  8.444949E+01  1.320000E-01
   6.000000E-02  3.764688E-09  8.444949E+01  1.440000E-01
   6.500000E-02  5.397075E-09  8.444949E+01  1.560000E-01
   7.000000E-02  7.533374E-09  8.444949E+01  1.680000E-01
   7.500000E-02  1.027600E-08  8.444949E+01  1.800000E-01
   8.000000E-02  1.373894E-08  8.444949E+01  1.920000E-01
   8.500000E-02  1.804819E-08  8.444949E+01  2.040000E-01
   9.000000E-02  2.334209E-08  8.444949E+01  2.160000E-01
   9.500000E-02  2.977177E-08  8.444949E+01  2.280000E-01
   1.000000E-01  3.750148E-08  8.444949E+01  2.400000E-01
   1.050000E-01  4.670896E-08  8.444949E+01  2.520000E-01
   1.100000E-01  5.758581E-08  8.444949E+01  2.640000E-01
   1.150000E-01  7.033778E-08  8.444949E+01  2.760000E-01
   1.200000E-01  8.518517E-08  8.444949E+01  2.880000E-01
   1.250000E-01  1.023631E-07  8.444949E+01  3.000000E-01
   1.300000E-01  1.221219E-07  8.444949E+01  3.120000E-01
   1.350000E-01  1.447273E-07  8.444949E+01  3.240000E-01
   1.400000E-01  1.704608E-07  8.444949E+01  3.360000E-01
   1.450000E-01  1.996202E-07  8.444949E+01  3.480000E-01
   1.500000E-01  2.325193E-07  8.444949E+01  3.600000E-01
   1.550000E-01  2.694890E-07  8.444949E+01  3.720000E-01
   1.600000E-01  3.108768E-07  8.444949E+01  3.840000E-01
   1.650000E-01  3.570476E-07  8.444949E+01  3.960000E-01
   1.700000E-01  4.083838E-07  8.444949E+01  4.080000E-01
   1.750000E-01  4.652856E-07  8.444949E+01  4.200000E-01
   1.800000E-01  5.281711E-07  8.444949E+01  4.320000E-01
   1.850000E-01  5.974769E-07  8.444949E+01  4.440000E-01
   1.900000E-01  6.736582E-07  8.444949E+01  4.560000E-01
   1.950000E-01  7.571887E-07  8.444949E+01  4.680000E-01
   2.000000E-01  8.485616E-07  8.444949E+01  4.800000E-01
   2.050000E-01  9.482891E-07  8.444949E+01  4.920000E-01
   2.100000E-01  1.056903E-06  8.444949E+01  5.040000E-01
   2.150000E-01  1.174956E-06  8.444949E+01  5.160000E-01
   2.200000E-01  1.303018E-06  8.444949E+01  5.280000E-01
   2.250000E-01  1.441683E-06  8.444949E+01  5.400000E-01
   2.300000E-01  1.591562E-06  8.444949E+01  5.520000E-01
   2.350000E-01  1.753290E-06  8.444949E+01  5.640000E-01
   2.400000E-01  1.927520E-06  8.444949E+01  5.760000E-01
   2.450000E-01  2.114929E-06  8.444949E+01  5.880000E-01
   2.500000E-01  2.316213E-06  8.444949E+01  6.000000E-01
   2.550000E-01  2.532090E-06  8.444949E+01  6.120000E-01
   2.600000E-01  2.763303E-06  8.444949E+01  6.240000E-01
   2.650000E-01  3.010612E-06  8.444949E+01  6.360000E-01
   2.700000E-01  3.274804E-06  8.444949E+01  6.480000E-01
   2.750000E-01  3.556686E-06  8.444949E+01  6.600000E-01
   2.800000E-01  3.857088E-06  8.444949E+01  6.720000E-01
   2.850000E-01  4.176863E-06  8.444949E+01  6.840000E-01
   2.900000E-01  4.516889E-06  8.444949E+01  6.960000E-01
   2.950000E-01  4.878064E-06  8.444949E+01  7.080000E-01
   3.000000E-01  5.261312E-06  8.444949E+01  7.200000E-01
   3.050000E-01  5.667580E-06  8.444949E+01  7.320000E-01
   3.100000E-01  6.097840E-06  8.444949E+01  7.440000E-01
   3.150000E-01  6.553086E-06  8.444949E+01  7.560000E-01
   3.200000E-01  7.034339E-06  8.444949E+01  7.680000E-01
   3.250000E-01  7.542642E-06  8.444949E+01  7.800000E-01
   3.300000E-01  8.079065E-06  8.444950E+01  7.920000E-01
   3.350000E-01  8.644702E-06  8.444950E+01  8.040000E-01
   3.400000E-01  9.240671E-06  8.444950E+01  8.160000E-01
   3.450000E-01  9.868118E-06  8.444950E+01  8.280000E-01
   3.500000E-01  1.052821E-05  8.444950E+01  8.400000E-01
   3.550000E-01  1.122215E-05  8.444950E+01  8.520000E-01
   3.600000E-01  1.195115E-05  8.444950E+01  8.640000E-01
   3.650000E-01  1.271646E-05  8.444950E+01  8.760000E-01
   3.700000E-01  1.351936E-05  8.444950E+01  8.880000E-01
   3.750000E-01  1.436115E-05  8.444950E+01  9.000000E-01
   3.800000E-01  1.524315E-05  8.444950E+01  9.120000E-01
   3.850000E-01  1.616671E-05  8.444950E+01  9.240000E-01
   3.900000E-01  1.713323E-05  8.444950E+01  9.360000E-01
   3.950000E-01  1.814410E-05  8.444950E+01  9.480000E-01
   4.000000E-01  1.920076E-05  8.444950E+01  9.600000E-01
   4.050000E-01  2.030467E-05  8.444950E+01  9.720000E-01
   4.100000E-01  2.145733E-05  8.444950E+01  9.840000E-01
   4.150000E-01  2.266026E-05  8.444950E+01  9.960000E-01
